# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 18/ 3/2021, la deuxième au 19/ 3/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              
-5.4193             1.2165              
-5.4225             1.2131              
-5.4256             1.2098              
-5.4288             1.2064              
-5.4319             1.203               
-5.4351             1.1996              
-5.4382             1.1963              
-5.4413             1.1929              
-5.4444             1.1895              
-5.4475             1.1861              
-5.4506             1.1827              
-5.4537             1.1793              
-5.4568             1.1759              
-5.4598             1.1726              
-5.4629             1.1692              
-5.4659             1.1658              
-5.4689             1.1624              
-5.472              1.159               
-5.475              1.1556              
-5.478              1.1522              
-5.481              1.1487              
-5.484              1.1453              
-5.487              1.1419              
-5.4899             1.1385              
-5.4929             1.1351              
-5.4959             1.1317              
-5.4988             1.1283              
-5.5017             1.1248              
-5.5047             1.1214              
-5.5076             1.118               
-5.5105             1.1146              
-5.5134             1.1111              
-5.5163             1.1077              
-5.5191             1.1043              
-5.522              1.1008              
-5.5249             1.0974              
-5.5277             1.094               
-5.5306             1.0905              
-5.5334             1.0871              
-5.5362             1.0837              
-5.539              1.0802              
-5.5418             1.0768              
-5.5446             1.0733              
-5.5474             1.0699              
-5.5502             1.0664              
-5.553              1.063               
-5.5557             1.0595              
-5.5585             1.056               
-5.5612             1.0526              
-5.564              1.0491              
-5.5667             1.0457              
-5.5694             1.0422              
-5.5721             1.0387              
-5.5748             1.0353              
-5.5775             1.0318              
-5.5802             1.0283              
-5.5828             1.0249              
-5.5855             1.0214              
-5.5882             1.0179              
-5.5908             1.0144              
-5.5934             1.011               
-5.5961             1.0075              
-5.5987             1.004               
-5.6013             1.0005              
-5.6039             0.997               
-5.6065             0.9935              
-5.6091             0.9901              
-5.6116             0.9866              
-5.6142             0.9831              
-5.6167             0.9796              
-5.6193             0.9761              
-5.6218             0.9726              
-5.6244             0.9691              
-5.6269             0.9656              
-5.6294             0.9621              
-5.6319             0.9586              
-5.6344             0.9551              
