# fichier finlay.txt
############################################################################################
# Positions prévues de la comète Finlay par rapport au Soleil.
# Les données sont prises tous les jours.
# La première ligne correspond au 15/ 4/2021, la deuxième au 16/ 4/2021, etc.
# Les distances sont exprimées en unité astronomique (au) : 1 au = 1.496e+11 m
############################################################################################
X (au)              Y (au)              Z (au)              
-3.753              2.1625              0.3574              
-3.7599             2.1605              0.3573              
-3.7668             2.1586              0.3573              
-3.7737             2.1567              0.3573              
-3.7805             2.1547              0.3572              
-3.7874             2.1528              0.3572              
-3.7942             2.1508              0.3572              
-3.801              2.1488              0.3572              
-3.8078             2.1469              0.3571              
-3.8146             2.1449              0.3571              
-3.8214             2.1429              0.357               
-3.8281             2.1409              0.357               
-3.8349             2.1389              0.357               
-3.8416             2.1369              0.3569              
-3.8483             2.1349              0.3569              
-3.8551             2.1328              0.3568              
-3.8617             2.1308              0.3568              
-3.8684             2.1288              0.3567              
-3.8751             2.1267              0.3567              
-3.8818             2.1247              0.3566              
-3.8884             2.1226              0.3566              
-3.895              2.1205              0.3565              
-3.9016             2.1184              0.3565              
-3.9082             2.1164              0.3564              
-3.9148             2.1143              0.3564              
-3.9214             2.1122              0.3563              
-3.928              2.1101              0.3563              
-3.9345             2.108               0.3562              
-3.9411             2.1058              0.3562              
-3.9476             2.1037              0.3561              
-3.9541             2.1016              0.356               
-3.9606             2.0994              0.356               
-3.9671             2.0973              0.3559              
-3.9735             2.0951              0.3558              
-3.98               2.093               0.3558              
-3.9865             2.0908              0.3557              
-3.9929             2.0886              0.3556              
-3.9993             2.0865              0.3556              
-4.0057             2.0843              0.3555              
-4.0121             2.0821              0.3554              
-4.0185             2.0799              0.3553              
-4.0249             2.0777              0.3553              
-4.0312             2.0755              0.3552              
-4.0376             2.0732              0.3551              
-4.0439             2.071               0.355               
-4.0502             2.0688              0.355               
-4.0565             2.0665              0.3549              
-4.0628             2.0643              0.3548              
-4.0691             2.062               0.3547              
-4.0754             2.0598              0.3546              
-4.0816             2.0575              0.3546              
-4.0879             2.0552              0.3545              
-4.0941             2.053               0.3544              
-4.1003             2.0507              0.3543              
-4.1065             2.0484              0.3542              
-4.1127             2.0461              0.3541              
-4.1189             2.0438              0.354               
-4.1251             2.0415              0.3539              
-4.1312             2.0392              0.3538              
-4.1374             2.0368              0.3537              
-4.1435             2.0345              0.3537              
-4.1496             2.0322              0.3536              
-4.1557             2.0298              0.3535              
-4.1618             2.0275              0.3534              
-4.1679             2.0251              0.3533              
-4.174              2.0228              0.3532              
-4.18               2.0204              0.3531              
-4.1861             2.0181              0.353               
-4.1921             2.0157              0.3529              
-4.1981             2.0133              0.3527              
